log_volume,percentage_of_total_volume
1.7814204080512923,1.6541287054796226e-05
1.7833321419651165,1.66431140034336e-05
1.7853298350107671,1.6748672668528246e-05
1.7874346144522808,1.6848208913771196e-05
1.7896400217422856,1.6951504880913445e-05
1.791851189029273,1.7055321537533241e-05
1.7934862651145405,1.7159703989215928e-05
1.7953124789271646,1.7264295112336369e-05
1.7972675408307164,1.7369432779471266e-05
1.7991984774545069,1.747506067166315e-05
1.8010944343923996,1.7581122560660019e-05
1.8032829737207123,1.768771248073071e-05
1.8055312305241804,1.7794849702890005e-05
1.8074517803149905,1.7902489404439384e-05
1.8096084673459278,1.8010656562725376e-05
1.8118362412035742,1.8119366950273126e-05
1.8129133566428555,1.8233308488316926e-05
1.8148017335302393,1.8338016132871863e-05
1.816773988424417,1.8447988561226105e-05
1.8188465504187061,1.8558480865890696e-05
1.8204059174026572,1.8669429759620076e-05
1.8225198266047888,1.8780852619897885e-05
1.8245772069344086,1.8892814884885791e-05
1.8261654829958172,1.9005290103322002e-05
1.8281954815861023,1.9118186084157966e-05
1.8301075992194846,1.9231609392925332e-05
1.8320609624772217,1.9345528300536268e-05
1.8336091823749441,1.945989170718106e-05
1.8354885236754876,1.9574718832018445e-05
1.8375525569591866,1.9690070777446261e-05
1.8392432323398,1.9805938487979225e-05
1.8410648575633723,1.9922277418601881e-05
1.8428286401722649,2.0039066061067792e-05
1.8444599651655429,2.0156338392301906e-05
1.8450980400142569,2.0413671953143751e-05
1.8450980400142569,2.0413671953143751e-05
1.84633018934635,2.0509390165996336e-05
1.8480877697879876,2.062760674163956e-05
1.8497849702580693,2.0746328624877596e-05
1.8513195126487452,2.0865488387312912e-05
1.8530371677140896,2.0985091552638243e-05
1.8549146357452522,2.1105169799548078e-05
1.8569553047512155,2.1225805648230516e-05
1.8586954275755885,2.1346934992183735e-05
1.8607314548428904,2.1468617122867255e-05
1.8627555510248905,2.1590874620870464e-05
1.8644072414126758,2.1713899127702691e-05
1.8662195129436829,2.1836902930584185e-05
1.8680863435846626,2.1960701003098098e-05
1.8697067599292523,2.2084995093158658e-05
1.8712444637173602,2.22122174280326e-05
1.8731400035779346,2.2334997974049777e-05
1.8747914248009574,2.2460756713103079e-05
1.8750612633917,2.2678771977413247e-05
1.8753428959900924,2.2712875401282244e-05
1.8770247627262022,2.2839258887855306e-05
1.8788469293113093,2.2966162545396759e-05
1.8806444587943443,2.3093593936925328e-05
1.8821528608024798,2.3221476426364509e-05
1.8840705805278684,2.3349898865725388e-05
1.8860977534576715,2.3478907272835237e-05
1.8876236346883319,2.3608412989856751e-05
1.8895277457831405,2.3738456458505707e-05
1.8913698902602187,2.3869198478647493e-05
1.8927276264377673,2.4000152422597046e-05
1.8946681305501412,2.4131741608952416e-05
1.8965253577179024,2.4263906908838769e-05
1.8981069413990621,2.4396623024249265e-05
1.8995014906193428,2.4529777777097998e-05
1.9013733341294234,2.4663423496595964e-05
1.9028307281048962,2.4797595380872435e-05
1.9030899869919435,2.5084258589890914e-05
1.9030899869919435,2.5084258589890914e-05
1.904279127838187,2.5201125741842321e-05
1.9061224495094045,2.5336235920257728e-05
1.9079780300877223,2.5471933195669052e-05
1.9097288515419621,2.56081808001922e-05
1.911672233092071,2.5745015749354086e-05
1.913651814428222,2.5882472738736182e-05
1.9152763102065731,2.6020481752109564e-05
1.9171224000200962,2.6159076170367155e-05
1.919045121371171,2.629827654573525e-05
1.9207137479621825,2.6438022309659637e-05
1.9226207529022072,2.6578371285863455e-05
1.9242792860618816,2.6734856331716496e-05
1.925799048319615,2.6860715606794596e-05
1.9276970852096558,2.7002866273472555e-05
1.9293678292400995,2.7145933715061789e-05
1.9303140237112,2.7288257532496319e-05
1.932148942153773,2.7431720600353797e-05
1.9339671256050386,2.75757904399535e-05
1.9355828325357876,2.7722474300255324e-05
1.9373600529602255,2.7865629224642268e-05
1.9391163350149243,2.8011419254991089e-05
1.9406881965203866,2.8157775428018503e-05
1.9425024453355508,2.8304871944341035e-05
1.9441836561885957,2.8452242738084425e-05
1.9455944384348196,2.8600272366938838e-05
1.9472837369495619,2.8748857180378625e-05
1.9489305045491658,2.8898013999388525e-05
1.95005967477763,2.9047663898133468e-05
1.9515878994739497,2.9197741257554082e-05
1.9531239538225142,2.9348366501436168e-05
1.9541942518158624,2.954780088572801e-05
1.9542425094393248,2.9733386840920453e-05
1.9547316933625922,2.9802047131255706e-05
1.9562017026917511,2.995375116687367e-05
1.9577768299166753,3.0105991135222069e-05
1.9590804388893772,3.0258757473887061e-05
1.960552667382802,3.041197063622372e-05
1.9620571329293619,3.0565720848768375e-05
1.9635694592285673,3.0720021518790151e-05
1.9646418061768827,3.0874909212429266e-05
1.9661943097066439,3.10299531547596e-05
1.9677857856042673,3.1185720408845453e-05
1.9690195263374528,3.1342018978409636e-05
1.9704098211190906,3.1498775759987534e-05
1.971843781254748,3.1656058218648547e-05
1.9731278535996986,3.1824345561092211e-05
1.9742833126226169,3.1972035542925677e-05
1.9756229479276639,3.2130705117085934e-05
1.9769604557788172,3.2289855687101683e-05
1.9777236052888478,3.24652877312038e-05
1.9787878166994612,3.2609293987369387e-05
1.9800624225233583,3.2769592260538082e-05
1.9813982839284878,3.2930379343262848e-05
1.9822712330395684,3.3092333652125765e-05
1.9835051322821236,3.3253214547691429e-05
1.9848751271681462,3.3415293655954192e-05
1.9861440432393136,3.3577863238958662e-05
1.9869921208445238,3.37408472329145e-05
1.9882327479083792,3.390419592193294e-05
1.9893861817435445,3.40680045291667e-05
1.9905416780061802,3.4232248679709278e-05
1.9912260756924949,3.4405693272046351e-05
1.9922007610650256,3.4561774290064346e-05
1.9932842228753234,3.4727073083124006e-05
1.99429227792784,3.4892770881962808e-05
1.9951660787562404,3.5058826607345915e-05
1.9956037092997421,3.5225145682855748e-05
1.99563519459755,3.5629805778292723e-05
1.99563519459755,3.5629805778292723e-05
1.9958682472956506,3.5724367002383621e-05
1.99618320032566,3.605719046684718e-05
1.9961845015641762,3.6057553850152132e-05
1.996811380758692,3.6224276514345517e-05
1.997499963329205,3.6391269678219864e-05
1.9982337334801787,3.6558532338785613e-05
1.9986951583116557,3.6959778598471167e-05
1.9986951583116557,3.6959778598471167e-05
1.9989960284217165,3.7061238823169604e-05
1.9993909050145411,3.7229014038599065e-05
1.9996054771250105,3.7396905559191177e-05
1.9997602336734004,3.7564866647074588e-05
1.9998709041517946,3.7732877090631342e-05
1.9999315193902276,3.7900921885603486e-05
1.9999884302408923,3.8069171840575756e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0,4.2687477479006874e-05
2.0000419464782344,4.2775462946292883e-05
2.0001727279915809,4.29434003949856e-05
2.0004249880041853,4.3111593825011422e-05
2.0008048526379958,4.3279906571908787e-05
2.00108438129222,4.3457752250227828e-05
2.0015667022585255,4.3616971044719694e-05
2.0021972347709629,4.37857847482767e-05
